incident_id,incident_name,incident_summary,category_flow,llm_suggestion_1.5,llm_suggestion_2.0
11,"Power outage caused by cyber attack"",","A large power outage affected Spain, Portugal, and parts of France on Monday. While initially suspected, a cyber attack has been ruled out as the cause, with no evidence of interference in control systems. The precise reason for the outage remains under investigation. Authorities are working to determine the cause and implement preventative measures to avoid future occurrences. The incident highlights the vulnerability of interconnected power grids and the need for robust safeguards.","['DCA', 'OIA', 'PSI']",['OIA'],['OIA']
12,"Confirmed malware on oil pipeline sensors"",","In May 2021, Colonial Pipeline, a major fuel pipeline system in the United States, was targeted in a ransomware cyberattack. The attack involved malicious software that compromised computerized equipment managing the pipeline's operations. As a result, Colonial Pipeline halted operations, leading to fuel supply disruptions in the Southeastern United States. The incident, attributed to the DarkSide hacking group, highlighted the vulnerability of critical infrastructure to cyberattacks and the potential for significant economic and logistical consequences.","['DCA', 'OIA', 'EFA']","['DCA', 'OIA']","['DCA', 'OIA', 'EFA']"
13,"Attack on agricultural database"",","In 2024, the food and agriculture industry experienced 212 ransomware attacks, a type of cyberattack where systems are held hostage until a ransom is paid. These attacks primarily targeted critical manufacturing and commercial facilities within the sector. While the overall volume of ransomware attacks saw a slight increase compared to the previous year, the food and agriculture incidents were part of a larger trend, representing a portion of nearly 3,500 attacks across 11 industries. The Food and Ag-ISAC is providing resources to help companies in this sector improve their cybersecurity posture and share information to mitigate future risks. This highlights the ongoing need for vigilance and improved security measures to protect critical infrastructure and supply chains from cyber threats.","['DCA', 'BPA']","['DCA', 'OIA', 'BPA', 'EFA']","['DCA', 'EFA', 'OIA']"
14,"Manipulation of utility billing system"",","This article describes a comprehensive utility billing system that integrates with GIS to provide businesses with detailed information about their utility services. The system offers features like data export to Excel, transaction processing, and customer history tracking. By streamlining the billing process and providing in-depth insights, the system aims to save organizations time and resources, allowing them to focus on core operations. The system's flexibility allows businesses to customize billing processes to meet their specific needs, ultimately promoting long-term efficiency.","['DCA', 'EFA']","['DCA', 'EFA']","['DCA', 'EFA']"
15,"Fake news causing public unrest"",","Social unrest, exemplified by protest marches, was potentially exacerbated by the spread of misinformation. This misinformation, disseminated through social media platforms and online websites, targeted public perception and potentially fueled existing tensions. The consequence was likely an increase in societal division and distrust. This highlights the risk of online misinformation campaigns influencing real-world events and the importance of media literacy.",['SPI'],"['SPI', 'DCA']",['SPI']
16,"False chlorine dosing alert in city"",","This article lists countries where a specific website is accessible. It also mentions cookies related to GDPR compliance, used for storing user consent regarding necessary and performance cookies. There is no indication of any attack or security breach within the provided text. Therefore, a summary describing an attack, target, consequence, and broader impact is not applicable.","['OIA', 'SPI']",['BPA'],['SPI']
17,"Banking system hacked through water utility entry"",","On November 24, 2023, the CyberAv3ngers breached a remote water station by exploiting internet exposure and weak passwords on a Unitronics programmable logic controller. This allowed them to access and manipulate a pump controlling water pressure and display anti-Israel messages. The facility responded by switching to manual operations, disconnecting the compromised system, and replacing the affected device. The incident highlights the vulnerability of critical infrastructure to cyberattacks due to poor security practices, emphasizing the need for stronger cybersecurity measures in similar facilities.","['DCA', 'EFA', 'OIA']","['DCA', 'OIA']","['DCA', 'OIA']"
18,"AI system overrides water valves remotely"",","This article describes smart water shut-off valves, which offer remote control of water flow via a smartphone app or automation system. These devices allow users to remotely manage their water supply, preventing leaks and enabling convenient control. In case of technical issues, a manual override option is often available. The article highlights Ajax WaterStop models as examples of remotely controlled water shutoff valves. While the article focuses on the benefits and features of these valves, it does not describe any attacks, targets, or consequences. Therefore, there is no information to include regarding method of attack, target, consequence, or broader impact.","['AAT', 'DCA', 'OIA', 'PSI']","['AAT', 'DCA', 'OIA', 'PSI']","['AAT', 'DCA', 'OIA', 'PSI']"
19,"Cloud misconfiguration leads to data exposure"",","A single error in system setup, such as a misconfiguration, can be exploited to launch an attack. This can affect organizations or individuals storing sensitive information. The consequence of such an attack is the potential exposure of large quantities of private data. This highlights the critical need for meticulous configuration management to prevent future data breaches and protect sensitive information.",['DCA'],"['DCA', 'EFA']",['DCA']
20,"Deepfake used to gain admin access"",",Cybercriminals are leveraging audio deepfakes to mimic the voices of trusted individuals like doctors or administrators. This impersonation allows them to fraudulently gain access to sensitive data repositories. The consequence of this attack is unauthorized access to confidential information. This highlights the growing risk of voice-based social engineering and the need for stronger authentication measures to protect against sophisticated audio manipulation.,"['DCA', 'SPI']","['DCA', 'SPI']",['DCA']
21,"SCADA zero-day exploited in energy sector"",","Software vulnerabilities, stemming from coding errors, outdated software, or misconfigurations, can be exploited through methods like malware, phishing, or direct hacking. These attacks often target SCADA systems, especially those that are outdated or lack robust security. Successful exploitation can result in unauthorized access, data breaches, and operational disruptions, potentially leading to significant financial losses. Protecting SCADA systems is crucial for maintaining the reliability and integrity of critical infrastructure like energy.","['DCA', 'OIA']","['DCA', 'OIA']","['DCA', 'OIA']"
22,"Confirmed cyberattack on smart meters"",","Sophisticated cyberattacks present a serious danger to contemporary smart meter systems. These attacks, carried out through unspecified methods, target the smart meters themselves. A successful large-scale attack could disable many of these meters. This disruption could significantly impact urban areas. The vulnerability highlights the need for robust cybersecurity measures to protect critical infrastructure.","['DCA', 'OIA', 'EFA']","['DCA', 'OIA']","['DCA', 'OIA', 'EFA']"
23,"Industrial sabotage in desalination plant"",","On several Greek islands, water infrastructure like desalination plants have experienced frequent and unexplained malfunctions. While difficult to definitively prove, some suspect sabotage, including allegations of locals being paid to undermine confidence in desalinated water and obstruct new plant construction. This disruption has affected the water supply on islands reliant on these systems. The Greek state has since intervened by building more desalination plants and pipelines, diminishing the power of private water operators who previously controlled the water supply. This situation highlights how climate change-related water scarcity can fuel conflict, even in wealthier nations, and underscores the importance of secure and reliable water infrastructure.","['OIA', 'PSI', 'SPI']","['OIA', 'BPA', 'EFA', 'SPI']","['OIA', 'EFA', 'SPI']"
24,"VPN misconfigured in municipal system"",","Malware infections on VPN servers and client devices can steal user credentials, enabling attackers to compromise VPN systems. This can lead to man-in-the-middle attacks, data leaks, and even remote code execution on user devices. Misconfigurations in VPN software, servers, or client settings also expose sensitive data. Organizations using VPNs should conduct risk assessments to identify and mitigate potential vulnerabilities. These vulnerabilities highlight the importance of secure configurations and robust malware protection for VPN infrastructure.",['DCA'],"['DCA', 'OIA']","['DCA', 'OIA']"
25,"Mobile network outage due to physical sabotage"",","Power grids face increasing threats from both cyberattacks, which disrupt digital systems, and physical sabotage. These attacks target the infrastructure of power grids, potentially leading to disruptions in electricity supply. This vulnerability highlights the need to strengthen security measures in both the digital and physical realms to protect critical infrastructure and prevent widespread power outages. The interconnected nature of these threats underscores the importance of a comprehensive security approach.","['PSI', 'DCA']","['OIA', 'DCA', 'BPA']","['DCA', 'OIA']"
26,"Attack on disaster response system"",","A proposed Department would centralize federal emergency response to various threats, including biological and nuclear attacks, and natural disasters. This department would coordinate federal, state, and local agencies to manage incidents and streamline communication. A key goal is to improve interoperability between emergency responders, addressing current technological limitations. By consolidating emergency response plans and eliminating distinctions between crisis and consequence management, the department aims to create a more unified and effective national incident management system. This would improve the ability to respond to future large-scale emergencies.","['DCA', 'OIA', 'PSI']","['BPA', 'OIA', 'NDA']","['BPA', 'NDA', 'SPI']"
27,"Remote access tool used in ICS breach"",","This article excerpt identifies B&R's SiteManager and GateManager, along with mbConnect's remote access tools, as prevalent in industrial settings. The provided text doesn't describe a specific attack, target, or consequence. Therefore, it's impossible to create a summary addressing those points based solely on this excerpt. The text simply highlights the popularity of these remote access solutions within the industrial sector. Without further information, the broader impact remains unknown.","['DCA', 'OIA']","['DCA', 'OIA', 'EFA']","['DCA', 'OIA']"
28,"Security breach at dam control center"",","In 2013, an Iranian hacking group, SOBH Cyber Jihad, gained unauthorized access to the control system of the Bowman Avenue Dam in Rye Brook, New York. The method of attack is not explicitly stated, but it allowed the group to control the dam's operations. While the immediate consequences of the breach are not detailed, the group claims they remained silent for two years due to a ""state-level"" warning. The incident raises concerns about the vulnerability of critical infrastructure to cyberattacks and the potential for state-sponsored actors to target such systems, highlighting the need for improved cybersecurity measures.","['PSI', 'DCA', 'OIA']",['DCA'],"['DCA', 'OIA']"
29,"Leak of nuclear plant operation plans"",",Xcel Energy will shut down the Monticello Nuclear Generating Plant due to two tritium water leaks originating from a 50-year-old pipe. The plant will be powered down to allow for cooling before crews remove the damaged pipe for analysis. The goal is to determine the cause of the pipe failure and prevent future incidents. This shutdown impacts energy production and necessitates repairs to ensure the plant's continued safe operation.,"['OIA', 'PSI']","['BPA', 'OIA']",['OIA']
30,"False billing by manipulated sensors"",","False billing is a fraudulent scheme where perpetrators issue deceptive invoices with fabricated or inflated charges, often exploiting weaknesses in internal controls or manipulating accounting records. Businesses are the primary target of this fraud. The consequence is significant financial losses and reputational damage. Understanding and preventing false billing is crucial for businesses to minimize risk and protect themselves from this type of fraudulent activity, requiring vigilance and strong internal controls.","['OIA', 'EFA']",['EFA'],['EFA']
31,"Supply chain attack through vendor software"",","A supply chain attack occurs when cybercriminals infiltrate an organization's system by compromising a third-party vendor or supplier, often through vulnerabilities in their software. Attackers inject malware into the vendor's software, which then spreads to the vendor's clients via seemingly legitimate processes like software updates. This allows attackers to gain unauthorized access to the victim organization's systems. These attacks are difficult to detect and can have a massive scope due to the widespread distribution of compromised software, highlighting the need for stronger cybersecurity practices among software vendors.","['DCA', 'OIA']","['DCA', 'OIA']","['DCA', 'OIA']"
32,"IoT-based attack on city sensors"",","Smart city networks, relying on interconnected IoT devices and cloud servers, are vulnerable to malicious attacks. These attacks, carried out through the network connections, target the IoT devices and the data stored on cloud servers. The consequence of such attacks could be compromised device functionality and data breaches. This highlights the need for robust security measures to protect smart city infrastructure and prevent future disruptions and data loss.","['DCA', 'OIA']","['DCA', 'OIA']","['DCA', 'OIA']"
33,"Malicious firmware update shuts down plant"",",Two power plants in the United States were targeted in cyberattacks involving computer viruses. One plant was forced to shut down after being infected with malicious software that was introduced into its system. The attacks highlight the vulnerability of critical infrastructure to cyber threats. This incident raises concerns about the potential for future disruptions and the need for improved cybersecurity measures within the power sector.,"['DCA', 'OIA', 'PSI']","['DCA', 'OIA']","['DCA', 'OIA']"
34,"Drone disables power substation"",","A power substation in Kursk Oblast, located near the Kursk Nuclear Power Plant, was struck by a UAV. This attack resulted in electricity outages affecting several settlements in the region. The incident highlights the vulnerability of critical infrastructure to drone attacks. This event may raise concerns about the security of energy infrastructure in the area.","['AAT', 'PSI']","['OIA', 'BPA']",['OIA']
35,"Gas leak triggered by remote access"",","This project addresses the risk of gas leaks in residential areas by developing a smart detection and prevention system. The system uses sensors to monitor gas concentration and triggers alerts via multiple channels, including mobile notifications, when a leak is detected. It also automatically shuts off the gas supply to prevent further leakage and potential explosions or poisoning. Remote monitoring via a smartphone app provides users with real-time data and control. Future enhancements could include predictive analysis and voice assistant integration to further improve safety and responsiveness.","['DCA', 'OIA', 'PSI']","['DCA', 'OIA', 'PSI']","['BPA', 'NDA']"
36,"Disinformation about contaminated water"",","In a 2016 report, the NRDC raised concerns about potential water contamination affecting a large segment of the U.S. population. The report suggested that many Americans might unknowingly be consuming unsafe water. The consequence of this contamination could be adverse health effects for those affected. This situation highlights the potential for widespread public health risks due to inadequate water quality monitoring and awareness. The report aligns with similar concerns expressed in 2015, suggesting a persistent and ongoing issue.",['SPI'],"['BPA', 'OIA']","['BPA', 'SPI']"
37,"Ransomware hits waste processing facility"",","Over the past seven months, wastewater treatment facilities (WWS) in the United States have been targeted by ransomware attacks. In these incidents, attackers gained unauthorized remote access to the facilities' networks and deployed ransomware, such as ZuCalNo and Ghost variants. This compromised the SCADA systems that control operations, forcing manual operation and disrupting services. These attacks highlight the vulnerability of critical infrastructure to cyber threats and the potential for disruptions to essential services like clean water and wastewater management.","['DCA', 'OIA', 'BPA']","['DCA', 'OIA']","['DCA', 'OIA']"
38,"Underwater cables sabotaged"",","In November 2024, two submarine telecommunication cables in the Baltic Sea, the BCS East-West Interlink and C-Lion1, experienced disruptions. The near-simultaneous damage to both fibre-optic cables, occurring in close proximity, led to suspicions of sabotage or hybrid warfare tactics. Then in February 2025, another data cable between Germany and Finland was damaged, with sabotage suspected. These incidents targeting critical undersea infrastructure raised concerns among European governments and NATO members, highlighting the vulnerability of these vital communication links and the potential for future disruptions.","['OIA', 'PSI']",['OIA'],"['OIA', 'PSI']"
39,"Insider threat compromises SCADA system"",","SCADA systems face security risks from both internal and external sources. Attacks can occur through malicious insiders, human error, or by exploiting vulnerabilities in interconnected IT networks. These attacks target the SCADA systems themselves, potentially leading to disruption of operations or physical damage. The interconnectedness of IT and SCADA systems means weaknesses in one area can compromise the other, highlighting the need for comprehensive security across both infrastructures to prevent future breaches and broader threats like ransomware.","['DCA', 'OIA']","['DCA', 'OIA', 'BPA']","['DCA', 'OIA']"
40,"Fake sensor data affects water treatment"",","This study investigated the use of sensors at water treatment works (WTW) drawing from river and groundwater sources. The method of ""attack"" was the deployment of sensors for water quality monitoring. The target was the water treatment process and the operators responsible for managing it. The consequence was that the sensors, due to false alarms and a lack of operator trust and understanding, became a burden and were ultimately switched off. This highlights the potential benefits of improved sensor implementation and data analysis for enhanced water treatment control, while also exposing the risks of inconsistent sensor usage and inadequate data archiving.","['PSI', 'OIA']",['OIA'],['OIA']
41,"Social engineering attack on operator"",","Social engineering attacks manipulate individuals psychologically to compromise digital security. These attacks, often carried out through methods like phishing, target users by exploiting emotions to obtain sensitive data, credentials, or access to devices. The consequence can range from personal data breaches to compromised devices, which can then be used as entry points for larger-scale attacks on corporate networks, highlighting the vulnerability of human error in cybersecurity. This emphasizes the need for increased awareness and training to mitigate these risks.",['DCA'],"['DCA', 'EFA']",['DCA']
42,"ICS malware causes equipment failure"",","In 2024, malware attacks on industrial control systems (ICS) increased, posing significant risks. FrostyGoop, a malware targeting Modbus TCP/502 communications, manipulates industrial process commands to cause physical damage, demonstrated by an attack on Ukraine's district heating system that left hundreds of buildings without heat. Another malware, Fuxnet, targeted Moscow's sensor network, disabling sensors and destroying gateway devices, disrupting the city's utility monitoring. Research indicates a high percentage of ICS vulnerabilities are deep within the network and can lead to loss of control, highlighting the growing need for robust security measures to protect critical infrastructure from such attacks.","['DCA', 'OIA']","['OIA', 'DCA']","['DCA', 'OIA', 'BPA']"
43,"Leakage of healthcare data from water billing system"",","From 2015 to 2019, a significant number of data breach incidents occurred, resulting in the exposure of 145.75 million records through hacking. This represents a substantial increase compared to the previous five-year periods (2005-2009 and 2010-2014). The data suggests a growing risk of data exposure through hacking, highlighting the need for enhanced cybersecurity measures to protect sensitive information. The table provided in the article details the number of breach incidents from 2015-2019, but the article also mentions data from 2010-2014 and 2005-2009.","['DCA', 'EFA', 'SPI']",['DCA'],['DCA']
44,"Billing system targeted via phishing emails"",","Cybercriminals are using phishing attacks, which involve deceptive emails or messages, to obtain employee login credentials. These attacks specifically target healthcare organizations. Successful phishing attempts can lead to unauthorized access to sensitive data and systems. This type of attack highlights the ongoing need for robust cybersecurity training and awareness programs within the healthcare sector to mitigate the risk of future credential theft and data breaches.","['DCA', 'EFA']","['DCA', 'BPA']","['DCA', 'BPA']"
45,"Hackers disrupt chlorination process"",","Cybersecurity experts are concerned about potential hacks into operational networks of water and wastewater utilities. Attackers could gain control of critical processes like chlorination or digesters. This could lead to contaminated water supplies, potentially causing widespread disease outbreaks downstream. The increasing number of identified vulnerabilities in water sector equipment suggests that such attacks are becoming more likely, particularly impacting smaller, resource-constrained utilities. This highlights the urgent need for improved cybersecurity measures to protect vital water infrastructure.","['DCA', 'OIA', 'BPA', 'PSI']","['DCA', 'OIA', 'BPA']","['DCA', 'OIA', 'BPA']"
46,"Remote takeover of control panel"",","Security configurations often allow for granular control over remote access features. This means that certain functionalities, such as the ability to remotely control a device (device takeover) and the ability to send or receive files (file transfers), can be managed independently. A vulnerability could arise if one access method is disabled while another remains active, potentially allowing unauthorized access to the target device or network through the enabled channel. This selective configuration highlights the importance of carefully assessing the security implications of each enabled feature to prevent unintended access and potential data breaches.","['DCA', 'OIA', 'PSI']",['DCA'],['DCA']
47,"Infrastructure collapse blamed on cyber attack"",","A recent blackout in Spain and Portugal sparked concerns about a potential cyberattack targeting their power grids. While the likely cause was a technical malfunction due to a rare atmospheric phenomenon, the possibility of a cyber intrusion, potentially exploiting weak passwords to access IT and operational technology systems, has not been ruled out. The incident, whether a natural event or a cyberattack, highlighted the vulnerability of critical infrastructure to digital threats. This event serves as a reminder of the need for constant vigilance and robust cybersecurity measures to protect against future attacks on essential services.","['OIA', 'NDA', 'PSI']","['OIA', 'NDA']","['DCA', 'OIA', 'NDA']"
48,"Confirmed breach of rural water board"",","Blue Ridge Rural Water Company experienced a data breach after detecting suspicious activity within its corporate network in July 2024. The incident involved unauthorized access and potential acquisition of sensitive personal information stored in their systems. As a consequence, an undetermined number of individuals' data may have been compromised. Law firm Strauss Borrelli PLLC is investigating the breach and offering legal consultation to affected individuals. This incident highlights the ongoing risk of cyberattacks targeting organizations holding sensitive personal data.","['DCA', 'OIA']",['DCA'],['DCA']
49,"False evacuation alert sent via compromised system"",","Emergency alert systems in Los Angeles and Toronto experienced failures, leading to the dissemination of false or ambiguous alerts to millions of residents via cell phones. In Los Angeles, a false evacuation alert during active wildfires caused confusion and potentially hampered real evacuation efforts. In Toronto, an ambiguous alert regarding an incident at a nuclear plant created unnecessary alarm. Repeated false alerts in Los Angeles further compounded the initial error. These incidents highlight the risk of technical glitches and the potential for widespread panic or distrust in emergency alert systems, emphasizing the need for system improvements and clear communication protocols.","['OIA', 'SPI']",['OIA'],"['DCA', 'SPI']"
50,"Manipulation of disaster preparedness data"",","This article describes Disaster Database Management Systems, which are specialized computer systems designed to manage data related to disasters. These systems store, process, and retrieve disaster-related information. The intended use is to support disaster response professionals, including FEMA, in tasks such as issuing warnings to at-risk areas and determining appropriate relief funding. By providing organized disaster data, these systems aim to improve the efficiency and effectiveness of disaster response efforts.","['NDA', 'BPA', 'EFA']","['NDA', 'BPA', 'EFA']","['NDA', 'BPA', 'EFA']"
